index,county,16_jan,16_feb,16_mar,16_apr,16_may,16_jun,16_jul,16_aug,16_sep,16_oct,16_nov,16_dec,17_jan,17_feb,17_mar,17_apr,17_may,17_jun,17_jul,17_aug,17_sep,17_oct,17_nov,17_dec,18_jan,18_feb,18_mar,18_apr,18_may,18_jun,18_jul,18_aug,18_sep,18_oct,18_nov,18_dec,19_jan,19_feb,19_mar,19_apr,19_may,19_jun,19_jul,19_aug,19_sep,19_oct,19_nov,19_dec,20_jan,20_feb,20_mar,20_apr,20_may,20_jun,20_jul,20_aug,20_sep,20_oct,20_nov,20_dec,21_jan,21_feb,21_mar,21_apr,21_may,lat,lng
20,merced,30.2,-13.3,30.9,-6.5,7.8,12.6,3.2,6.3,4.2,14,38,-11.2,2.4,16.7,-8.9,-3,14.5,-9.2,1.6,19.3,13,7.4,5.5,14.7,27.4,31,23.2,13.3,2.1,15.2,16.8,10.6,-20.1,-1.5,-13,11.9,-24.3,-17.3,-19.6,22.5,11.7,-13.8,7.8,-12.4,38.7,24,13,10.7,34.6,26.4,10.8,-13.2,-33.3,-6.6,13.3,-3.8,-20.8,-10,-11.5,-11.9,-22,-33.9,15.4,0.8,12,37.1919,-120.7177
21,mono,-8.3,-45.5,160,0,116.7,11.1,33.3,20,100,-52.6,100,40,-27.3,0,-23.1,-9.1,-7.7,0,18.8,-50,0,66.7,-22.2,-50,-37.5,50,-30,-30,-16.7,30,-36.8,25,-36.4,13.3,-35.7,-42.9,100,22.2,-57.1,128.6,-40,15.4,0,33.3,14.3,-11.8,0,275,10,36.4,300,-62.5,-50,-40,66.7,5,118.8,60,133.3,40,9.1,-6.7,-25,233.3,400,37.9391,-118.8868
22,monterey,-3.6,18.7,-12.9,5.4,-2.2,7.5,-18.2,8,3.5,-10.3,8.6,10.5,2.5,-15.8,4.1,-21.5,3.6,2.2,-10.3,9.6,-7.3,10.1,4.2,-3.6,9.6,7.7,14.2,29,16.7,-10.4,2.9,-6.7,6,-11.3,-11.2,-31,-8.8,-13.8,-13.7,-4.7,-10.7,-18.1,4.6,-3,-19.6,3.8,-5,44.2,-15.7,-0.7,-11.4,-42.7,-63,-13.2,41.6,25.4,61.6,27.3,30.7,18.4,18.6,25.2,27,76,153.3,36.2172,-121.2392
23,napa,15.2,-18.6,-9.5,4.1,-12.6,9.6,-9.3,9.9,0.8,49.3,1,-10.6,0,3.5,23.2,-10.8,17.3,-8,-26.3,-4.5,-12.4,-24.5,-2,8.6,0,18.6,-23.9,3.3,-14.8,-17.5,13.9,17,-14.2,30,-6.1,-21.8,-26.3,-4.3,-27,0,10.6,19.2,8.7,-20.2,25.3,14.4,-18.5,5.1,10.7,-37.3,0,-30.9,-53.9,-28.2,28,52.5,25.4,12.6,28,45.8,1.6,61.9,52.3,89.2,118.9,38.5065,-122.3305
24,nevada,-24.4,20,1.9,-28.2,-6.6,15.9,22.1,8.8,5.8,-17.2,21.3,-19.8,45.2,-10.7,2.9,16,33.3,-3.8,-26.3,-13.4,-16.4,6.3,0,23.5,-20,28,19.4,0.9,-20.4,4.5,9.5,7.8,-15,13.6,-13.9,-6,27.8,-18.8,-5.4,12.7,13.2,-15.5,-2.9,-0.7,41.8,-9,48.4,23.4,-15.2,1.3,4.9,-36.3,-23.4,19.1,59,44.9,48.8,31.1,0,44,34.6,36.7,7,113.9,42.9,39.3014,-120.7685
25,orange,15.2,1.5,-3.5,-9.6,4.3,-0.5,-13.6,9.3,-0.8,8.1,26,1.8,-1.1,0.3,7.3,-5.2,5.9,5.6,2.5,0.5,4.1,-1.6,0.6,-12.5,-6.6,-1,-3.2,1.1,-7.4,-9.9,-1.4,-9.7,-21.8,-11.3,-14.4,-18.3,-13.2,-16.5,-12.5,0.5,-2,-7.6,6.7,2.1,16.4,12.9,6.9,32.8,22.1,34.7,1.6,-36.7,-53.3,-20.4,2.2,13.7,31.3,29.3,24.6,25.1,14.3,7.3,30.4,107.9,130.9,33.703,-117.7611
26,placer,11.8,-3.6,-11,-5,0.4,0.5,-9.9,0.7,1.1,-4.5,27.9,0.4,-10.2,-1.2,0.9,-9.9,14.9,-0.6,0.2,12.8,-2,10.5,-2.9,-6,11.4,0,4.9,12,-6.5,-3,-3.7,-11.5,-18.8,-18.9,-13.6,-18.5,-10.5,12.8,-5.1,-4.7,2.4,-9.9,12.2,-2.3,-3.7,10.8,7,16.8,11.8,-15.7,2.8,-36.2,-38.6,1.2,20.2,29.3,57.6,42.4,26.8,32.6,9.9,16.1,10.3,80.6,53.1,39.0635,-120.7175
27,plumas,90,-40,40,-47.1,-25.8,-7.9,-25.5,44.8,-20.8,2.9,0,50,15.8,0,-47.6,200,47.8,48.6,0,21.4,7.9,34.3,45.2,0,-9.1,16.7,27.3,-55.6,14.7,-51.9,28.6,-5.9,-22,0,-42.2,-13.3,-30,71.4,85.7,116.7,-35.9,56,-15.6,12.5,3.1,4.3,-7.7,15.4,7.1,-8.3,-53.8,-15.4,-40,15.4,76.3,46.3,130.3,53.1,87.5,50,46.7,31.8,208.3,86.4,260,40.0046,-120.8385
28,riverside,7.7,7.5,1.6,-3,6,4.4,-4.2,12.1,11.1,3.7,32.5,5.5,9.9,4.5,12.9,1.6,10.3,8.7,-2,3.3,-9.2,1,-6.7,-5.9,-3.5,-0.8,-9,1.8,-8.7,-16.9,1.3,-6.6,-9.7,-2.9,-9,-17.7,-13.9,-7.7,-9.3,-6.5,1.5,-4,0.8,2.7,8.3,6.8,4,12.1,16.4,11.3,4.5,-31.1,-43,-8.8,11.1,8.2,28,18.5,23,39,12.6,7.1,22.5,61.9,60.4,33.7437,-115.9938
29,sacramento,4.6,-1.6,3.5,-2.8,4.5,1,-7.6,8,2.9,3.9,20.1,-4.8,14.1,-5.4,-1.9,-4,5.7,-0.7,1.7,-4.2,-7,-4.3,-3.7,-4.9,3.5,11.4,-0.4,6.5,2.4,-3.3,-1.6,-2.2,-13.8,-3.1,-7.1,-22.4,-20.9,-11.4,-5.4,-6.8,-5.7,-12.7,4.5,-5.1,4.8,6.9,-5.3,11.5,5.8,0.2,-10.9,-31.8,-37.8,-2.4,3.7,-1.9,21.4,8,23.3,24.9,6.5,0.3,7.8,48.1,46.1,38.4493,-121.3443
